tipo_instrumento;ano_instrumento;mes_instrumento;categoria_valor;orgao_recebedor;codigo_orgao_recebedor;natureza_doador;doador_comodante;objeto_descritivo;quantidade_objeto;vigencia;processo_sei;recurso_tjmg_ou_mpmg
Contrato de Doação;2025,0;4;Entre 100K e 500K;Secretaria de Estado de Cultura de Minas Gerais - SECULT;1271,0;Privado;Instituto Vale;30 - CADEIRAS Estrutura /Estofado/Tecido - Sl Opera 6 - Poltronas Panteão 8 - ESCULTURAS VITRINES - Sla Celebrações 1 - Livro Gênesis - Sebastião Salgado 1 - Vitrine livro Gênesis - Sebastião Salgado 5 - Vitrine vidro e madeira;6,0;Não se aplica;1410.01.0005888/2024-20;Não
Termo de Transferência de Bens           ;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Associação do Conselho de Defesa Social e Sete Lagoas – ACONDES;Automóvel marca FIAT, modelo ARGO 1.0, cor branca – Chassi: 9BD358ACGSYP04439 – Placa: TDL9E56;1,0;Não se aplica;1510.01.0039821/2025-50;Sim
Termo de Doação;2025,0;4;Entre 100K e 500K;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Ministério da Justiça e Segurança Pública - MJSP;ANALISADOR GENÉTICO (8 CAPILARES), ACOMPANHADO DE: SOFTWARE GENEMAPPER ID-X, LICENÇA FULL V1.4, SOFTWARES SEQUENCE ANALYSIS E SEQSCAPE ESTAÇÃO DE TRABALHO.;1,0;24 meses;1510.01.0031230/2019-98;Não
Termo de Doação;2025,0;4;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Pública de Carangola/MG;Automóvel Chevrolet, modelo: SPIN 1.8L AT LT, ano de fabricação 2024, com quilometragem de 0 Km, movido a álcool/gasolina, chassi 9BGJB7520SB210136;1,0;Não se aplica;1250.01.0004390/2025-36;Sim
Termo de Doação;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Prefeitura Municipal de Felício dos Santos/MG;Serviço de reforma do calçamento do estacionamento do prédio da 3ª Delegacia Regional de Polícia Civil da cidade de Diamantina/MG;1,0;Não se aplica;1510.01.0138369/2024-64;Não
Contrato de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Saúde de Minas Gerais - SES;1321,0;Privado ;CNX Eventos LTDA.;Ocupação de stand de área livre Auditório com capacidade para 450 pessoas;2,0;05 meses;1320.01.0055809/2025-38;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Instituto Estadual de Florestas - IEF;2101,0;Privado ;Faculdade Latino-Americana de Ciências Sociais - FLACSO;"03 (três) notebooks Dell com cases de proteção; valor de aquisição: R$ 15.760  03 (três) HDs externos Toshiba 2TB; valor de aquisição: R$ 1.482,71  01 (um) tablet Samsung Galaxy S6 Lite; valor de aquisição: R$ 2.349,90  01 (uma) capa teclado para tablet; valor de aquisição: R$ 259,90  01 (um) mouse sem fio Logitech; valor de aquisição: R$ 79,90  02 (duas) câmeras fotográficas Canon PowerShot S70; valor de aquisição: R$ 11.102,41  02 (duas) bolsas de proteção para câmera fotográfica; valor de aquisição: R$150,01  01 (um) pen drive Sandisk 64 GB ; valor de aquisição: R$ 39,90";8,0;Não se aplica ;2100.01.0009116/2025-54;Sim
Termo de Doação;2025,0;4;Acima de 500K;Secretaria de Estado de Saúde - SES;1321,0;Público;Ministério da Saúde - MS;Veículo Automotor Furgão Marca Renault, Modelo Master, Cor predominantemente branca, Ano/Modelo: 2024/2025, Motor a Diesel, 136 CV, adaptado para ambulância, conforme descrito técnico constante no Termo de Referência do Pregão Eletrônico SRP nº 150/2023, gerador da Ata de Registro de Preços ARP nº 4/2024.;8,0;Não se aplica ;1320.01.0061728/2025-81;Não
Termo de Doação;2025,0;4;Acima de 500K;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Secretaria Nacional de Segurança Pública do Ministério da Justiça e Segurança Pública;8 Softwares (FTK - Forensic Tookit) para perícia forense computacional em mídias de armazenamento computacional e sistemas informáticos. 1 Equipamento de Luz Forense Multiespectral (SUPERLITE S04/400). 1 Licença de uso do software Adobe Audition CC com atualização por 36 meses. 6 UFED - Sistema para extração e análise forense de equipamentos computacionais portáteis e de telefonia celular. (UFED PRO LX). 8 IEF - Software para perícia forense computacional em artefatos de Internet. 3 Equipamento de duplicação e bloqueio de escrita de mídias de armazenamento computacional (TD3 - Duplicador Forense). 2 Equipamento de duplicação e bloqueio de escrita de mídias de armazenamento computacional (TD3 - Duplicador Forense). 1 UFED - Sistema para extração e análise forense de equipamentos computacionais portáteis e de telefonia celular. (UFED PRO LX).;8,0;24 meses;1510.01.0086012/2025-22;Não
Contrato de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado ;Fundação de Ensino e Pesquisa de Uberaba – FUNEPU;1 MULTIFUNCIONAL LASER COLORIDA, 110V;1,0;Não se aplica ;1450.01.0042134/2024-54;Não
Termo de Doação;2025,0;4;Entre 100K e 500K;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Prefeitura Municipal de Catas Altas/MG; Automóvel marca CHEVROLET, modelo ONIX 1.0 LT1, cor PRATA placa TCN9D33, ano/modelo 2024/2025, chassi 9BGEB48H0SG177843;1,0;Não se aplica;1510.01.0291881/2024-50;Não
Termo de Doação;2025,0;4;Acima de 500K;Secretaria de Estado de Saúde de Minas Gerais - SES/MG;1321,0;Público;Ministério da Saúde - MS;-Veículo Automotor Furgão Marca Mercedes-Benz, Modelo 417 CDI, Cor predominantemente branca, Ano/Modelo: 2024/2025, Motor a Diesel, 130 CV, adaptado para ambulância, conforme descrivo técnico constante no Termo de Referência do Pregão Eletrônico SRP nº 150/2023, gerador da Ata de Registro de Preços ARP nº 7/2024, acompanhado dos seguintes equipamentos: Equipamento 01: Aspirador Portál de Secreções, elétrico, com bateria recarregável- (Marca PROTEC) Equipamento 02: Oxímetro portál, alimentação a pilha, po medição “Hand Held”, Digital- (Marca - SHENZHEN CREATIVE INDUSTRY) Equipamento 03: Venlador Arficial eletrônico de Transporte neonatal/pediátrico/adulto- (Marca - LEISTUNG EQUIPAMENTOS) Equipamento 04: Bomba de infusão- (Marca - LIFEMED INDUSTRIAL)  Equipamento 05: Monitor Cardioversor-Desfibrilador- (Marca - SUZHOU ZOLL MEDICAL TECHNOLOGY) Equipamento 06: Bomba de infusão de seringa- (Marca - LIFEMED INDUSTRIAL);8,0;Não se aplica ;1320.01.0061750/2025-69;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Município de Nova Lima/MG;Microcomputador;2,0;Não se aplica ;1510.01.0197956/2024-57;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Meio Ambiente - SEMAD;;Privado ;FLACSO - Faculdade Latino-Americana de Ciências Sociais;09 - GPS PORTATIL GARMIN ETREX 32X SA 03 - HD Seagate Externo Expansion USB 3.0 2TB 01 - Carregador de Pilhas Phillips com 4 pilhas AA de 2450 Mah 04 - Pen Drive Sandisk 128GB Ultra Flair Flash Drive USB 3.0 150MB/s 15 - 210-AYLY-NBV22_ES DELL MICROCOMPUTADOR PORTATIL VOSTRO 3400, CORE I5-1135G7, RAM 8GB, SSD 256GB, W;5,0;Não se aplica ;1370.01.0013042/2025-40;Sim
Termo de Doação;2025,0;4;Abaixo de 100k;Secretaria de Estado de Saúde - SES;1321,0;Privado ;Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein;"01 - Dell Latiude 3420 01 - MOCHILA MULTILASER 15.6"" PRETA";2,0;Não se aplica ;1320.01.0170879/2024-61;Não
Termo de Doação;2025,0;4;Abaixo de 100k;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado ;Fundação Salvar;02 - Mesa auxiliar 06 - Cama de solteiro 10 - Armário 04 - Cadeira digitador 16 - Armário 01 - Máquina de fumaça 01 - Ar condicionado 02 - Ar condicionado 01 - Impressora HP Laser 06 - Ar condicionado 15 - Armário em MDF 01 - Notebook Samsung 04 - Cama solteiro 02 - Beliche 02 - Colchão;15,0;Não se aplica ;1400.01.0081156/2024-93;Não
Termo de Transferência de Bem               ;2025,0;4;Abaixo de 100k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado ;Associação do Conselho de Defesa Social de Sete Lagoas - ACONDES;Automóvel marca FIAT, modelo ARGO 1.0, cor BRANCA, placa TDL9E56;1,0;Não se aplica ;1510.01.0039822/2025-23;Sim
Termo de Comodato;2025,0;4;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado ;Associação Regional de Proteção Ambiental de Passos - ARPA;Caminhonete L200 Triton Sport Outdoor Plus 2.4 D 4x4 AT cor preta, ano de fabricação 2024, ano modelo 2025, chassi 93XSYKL1TSCR89116, placa TDU5F69;1,0;60 meses;1250.01.0005466/2025-84;Não
Termo de Doação;2025,0;4;Entre 100K e 500K ;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado ;Conselho Comunitário de Segurança Pública de Congonhas/MG;09 DESKTOP´s completos com periféricos, conforme NF-e Nº 000.000.001 – Série 001 01 VEICULO NOVO - TOYOTA MODELO: HILUX CD DSL 4X4 SRV AT (LED) CHASSI: 8AJBA3CD3R7924702 RENAVAN 233771 ANO FAB./MOD.: 2024 / 2024 COR EXTERNA: 218 PRETO ATITUDE COR INTERNA: LA20 PRETO PORTAS: 4 LUGARES: 5 COMB.: DIESEL MOTOR: 2.8 POTENCIA: Diesel:204. NUMERO MOTOR: 1GDG536727 NUMERO DA CHAVE: 0 NF ENTRADA: 51488 DATA: 19/11/2024 12:32:10 DI: DI:07/11/2024 DATA: 30/12/1899 devidamente caracterizado para emprego na atividade da Polícia Militar de Minas Gerais.;10,0;Não se aplica ;1250.01.0000451/2025-77;Não
Contrato de Doação;2025,0;5;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado ;Conselho da Comunidade na Execução Penal da Comarca de Montes Claros/MG;"38 CAMERA DE SEGURANÇA FIXA 02 CÂMERA DE SEGURANÇA GIRATÓRI 01 NOBREAK - POTÊNCIA SAIDA: 1200 VA; POTÊNCIA FATORIAL: 0,5; TENSÃO ENTRADA: BIVOLT AUTOMÁTICO 115/127220V; FREQUÊNCIA: 60Hz; TENSÃO SAIDA: 115 V; BATERIA: 02 BATERIAS NO MÍNIMO 12VDC X 5AH; TOMADAS/BORNES: MÍNIMO DE 06 TOMADAS 01 SWITCH - 08 PORTAS POE GIGA 03 NVR/DVR STAND ALONE 16 CANAIS- INTELBRÁS 01 TELEVISOR 32"" TCL POLEGADAS 01 MONITOR 19 POLEGADAS 01 RACK DE 12 UNS 19"" 03 SWITCH 16 PORTAS POE GIGA INTELBRAS";9,0;Não se aplica ;1450.01.0208284/2024-60;Não
Termo de Transferência de Bens Móveis TRANSF. 27/2025 - PCMG/SPGF/DCC/DOAÇÂO/CESSÃO      ;2025,0; ;Entre 100 K e 500 K;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado ;Conselho Comunitário de Segurança Pública da 169 Companhia de Polícia Militar – CONSEP;01 - Automóvel marca CHEVROLET, modelo /S10 WT DD4A, cor PRETA , placa, TDK7B57, ano 24/25, chassi 9BG1481K0SC421861.                                                                                                                       01 -  Automóvel marca CHEVROLET, modelo /S10 WT DD4A, cor PRETA , placa, TDK7B54, ano 24/25, chassi9BG1481K0SC421739;2,0;Não se aplica;1510.01.0077321/2025-36;Sim
Termo de Doação FHEMIG/DPGF/GELCC/COCC-CONV Nº 111845551/2025;2025,0;5;Abaixo de 100k;Fundação Hospitalar do Estado de Minas Gerais - FHEMIG;2271,0;Privado;Fundação Arthur Bernardes;Notebook core i5 8gb 14 pb com software wins 10 pré instalado B4l09a ac 4 - hp mfp dj ink adv 4646	 Aparelho de pressão fecho velcro preto com estetoscópio deplo preto bic;3,0;Não se aplica ;2270.01.0017661/2019-36;Não
Contrato de Doação;2025,0;5;Abaixo de 100k;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado ;Conselho Comunitário de Segurança Pública - CONSEP de Unaí/MG;"11 CAIXA DE SOM, Frequência: 100 Hz - 18kHz; Distorção: Máxima 96dB; Potência: SUBWOOFER 14W - Dimensões: 13x10x13 - Alimentação: USB - MULTI - SP172 11 WEBCAM, RESOLUÇÃO: 1280 X 720; INTERFACE: USB 2.0; MICROFONE: INTEGRADO; ALIMENTAÇÃO: FONTE INTERNA - LOGITECH C920 PRO FULL HD";2,0;Não se aplica;1450.01.0083641/2025-03;Sim
Decisão Judicial;2025,0;5;Abaixo de 100 k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;1ª Vara Criminal e da Infância e da Juventude da Comarca de Araguari/MG;01 - UM EQUIPAMENTO ÓTICO DE PONTARIA (LUNETA), SEM MARCA APARENTE, MODELO 3-9X32EG;1,0;Não se aplica;1510.01.0041275/2025-77;Sim
Termo de Doação de Bens Móveis DOA 12/2025/PCMG - PCMG/SPGF/DCC/DOAÇÂO/CESSÃO       ;2025,0;5;Abaixo de 100 k;Polícia Civil de Minas Gerais - PCMG;1511,0;Público;Município de Ribeirão das Neves/MG;03 - Gaveteiro Volante 3 gavetas 03 - Mesa em L 02 - Armário Baixo Fechado 02 - Armário Extra Alto Fechado;4,0;Não se aplica;1510.01.0011002/2025-29;Não
Termo de Transferência de Bens Móveis TRANSF. 26/2025 - PCMG/SPGF/DCC/DOAÇÂO/CESSÃO                     ;2025,0;5;Abaixo de 100 k;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado ;Conselho Comunitário de Segurança Pública de Manhumirim/MG;01 - NOBREAK NHS PREMIUM 01 - Leitor Hd Externo Dock Station Ssd Sata Usb 3.0 Pc Notebook 01 - ESTACAO DE TRABALHO DELL PRECISION 5860 W3-2425, RAM128GB, RTX 4000 ADA, SSD 2TB, SSD 512GB, OFFICE H B 21, W11PROBPOR 02 - MONITOR DELL 27 P2722H 01 - MOUSE OPTICO DELL MS116 USB 01 - TECLADO DELL KB216 01 - REPLICADOR DE PORTAS DELL;7,0;Não se aplica;1510.01.0062791/2025-78;Não
Contrato de Doação;2025,0;5;Abaixo de 100 k;Secretaria de Estado de Justiça e Segurança Pública ;1451,0;Privado;Conselho Comunitário de Segurança Pública - CONSEP de Unaí/MG;05 LEITOR BIOMÉTRICO - FUTRONIC / FS80H;1,0;Não se aplica;1450.01.0093137/2025-79;Não
Termo de Compromisso;2025,0;5;Acima de 500K;Polícia Militar de Minas Gerais - PMMG ;1251,0;Privado;Associação Mineira de Proteção às Ações de Sustentabilidade Ambiental – AMPASA;01 Veículo caminhão-tanque abastecedor, placa TEC7B51, marca/modelo VW/26.320 CRM 6x2, ano/modelo 24/25, chassi 9536CTD8SR013409, motor 2096960A326954 01 Helicóptero modelo H125 (AS350B3e) monoturbina novo de fábrica com tempo total desde novo (TSN) de célula, componentes e motor, utilizados exclusivamente para voos de ensaio, equipado com instrumentos e acessórios para voo por regras visuais (VFR);2,0;Não se aplica;1250.01.0008190/2025-62;Sim
Contrato de Doação;2025,0;5;Abaixo de 100K;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública de Unaí/MG - CONSEP;01 - Impressora Multifuncional;1,0;Não se aplica;1450.01.0089606/2025-65;Sim
Decisão;2025,0;5;Abaixo de 100K;Polícia Civil de Minas Gerais - PCMG;1511,0;Privado;Conselho Municipal de Segurança Pública e Defesa Social de Manhuaçu/MG;"01 - MONITOR DELL E 23.8"" 01 - CONJUNTO DELL PRO COMPOSTO POR TECLADO E MOUSE KM5221W 01 - ESTAÇAO DE TRABALHO ELL PRECISION 5860 01 - BATERIA ESTACIONARIA 01 - NOBREAK TS SHARA 1200 VAFULL RANGE 220V 01 - CARREGADOR POWER BANK PORTATIL 20.000 MAH COM DISPLAY";6,0;Não se aplica;1510.01.0062179/2025-15;Sim
Decisão;2025,0;5;Abaixo de 100K;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública de Unaí/MG - CONSEP;01 - Motor Eletrônico deslizante DZ4 800KG TURBO 01 - Cremalheira 01 - Cremalheira 01 - Cremalheira 01 - Cremalheira 01 - Gravador iMHDX 3008 8 Canais + HD 2 TB 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Câmera Full HD 1080p VHL 1220B 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Par de Balun Intelbras 01 - Alicate de crimpar para corte de cabos 01 - Jogo de brocas para furar 01 - Esmerilhadeira angular 01 - Jogo de chave combinada 01 - Alicate para eletricista 01 - Roçadeira a Gasolina 01 - Roçadeira a Gasolina 01 - Serra Mármore 01 - Furadeira de Impacto 800w 01 - Multímetro Digital 01 - Alicate Universal 01 - Alicate Universal 01 - Betoneira 400 litros menegotti 01 - Carrinho de construção reforçado 01 - Carrinho de construção reforçado 01 - Inversor de solda 120 amp 01 - Jogo de chave de fenda 01 - Jogo de chave de fenda 01 - Chave de teste 01 - Cortadora de piso 01 - Martelo rompedor 01 - Ar condicionado Airvolution SPRINGER 01 - Ar condicionado Airvolution SPRINGER 01 - Ar condicionado Airvolution SPRINGER 01 - Ar condicionado TCL HW 18.000BTUS 01 - Ar condicionado TCL HW 18.000BTUS 01 - Mão de Obra para instalação de motor eletrônico 01 - Mão de Obra para instalação de circuito fechado de TV - CFTV 01 - Mão de Obra para instalação de 03 AR Condicionado 12.000BTUS 01 - Mão de Obra para instalação de 02 AR Condicionado 18.000BTUS;27,0;Não se aplica;1450.01.0107656/2024-46;Sim
Termo de Comodato 007/2025 - COPOM - PMMG/10RPM    ;2025,0;5;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Conselho Comunitário de Segurança Pública de Patos de Minas/MG - CONSEP;11 - Poltronas giratórias “Presidente”, assento em tecido, com braços 01 - Poltrona giratória “Presidente”, assento em tecido, com braços 01 - Aparelho de ar-condicionado 18.000 BTU’s, nº de série 0924B14217699 05 - Aparelhos de ares-condicionados 18.000 BTU’s Nº de série 0924B14217691, 0924B14217702, 0924B14217697, 0924B14217694 e 0724B14080374 01 - Aparelho de ar-condicionado 22.000 BTU’s, nº de série 1424B14459342 03 - Aparelho de ar-condicionado 12.000 BTU’s Nº de série 1024B14256657, 1024B14242593 e 1024B14256683 01 - CPU Workstation, marca DELL, modelo Precision 5860, nº de série JRL8034 06 - TV LED 4K, modelo 55CU8000 Nº de série Y57V3X4X103118D, Y57V3X4X103130Z, Y57V3X4X103150Y, Y57V3X4X103155T, Y57V3X4X103165E, Y57V3X4X103275F 03 - TV LED 4K, modelo 55CU7700 Nº de série Y5833X4X107827H, Y5833X4X108133X e Y5833X4X113461Z 01 - Fogão 05 bocas, marca SUGGAR, modelo NEOMAX-FGV503PRIX, nº série 0324050090647402 01 - Refrigerador 370 litros, marca CONTINENTAL, modelo TC41, de cor branca, nº de série 41625642 06 - CPU Desktop, marca LENOVO, modelo ThinkCentre M75S Gen 2 Nº de série PE0CH05R, PE0CH09S, PE0CH060, PE0CH065, PE0CH05Q, PE0CH05T 01 - Mini Rack, modelo 08UX19PX470, de cor preta, com três bandejas 400mm 01 - Impressora multifuncional, marca EPSON, modelo L6270, nº de série ATF03N42M482 01 - CPU Workstation, marca DELL, modelo Precision 3660, nº de série 46DP444 01 - NO-BREAK 30 kva (15KVA/15KW), marca VERTIV, modelo ITA 2 380V, nº de série 21012019262213010013;16,0;Não se aplica;1250.01.0007509/2025-19;Não
TERMO DE DOAÇÃO 742/25;2025,0;5;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;Associação Mineira de Proteção às Ações de Sustentabilidade Ambiental – AMPASA;01 Veículo modelo caminhonete Mitsubishi L200 Triton Spo GLSA, placa TEJ1C92, ano/modelo 25/25, chassi 93XSYKL1TSCR87902, motor 2096960A326954;1,0;Não se aplica;1250.01.0009187/2025-12;Sim
Decisão;2025,0;5;Abaixo de 100 K;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Fundação Salvar;01 - Ferramenta de desencarceramento combinada eletrica - HOLMATRO;1,0;Não se aplica;1400.01.0073594/2024-82;Sim
Termo de Compromisso;2025,0;5;Entre 100K e 500K;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Fundação Salvar;01 - NISSAN FRONTIER 2.3 ATK AT X4, 2024 2025 . ENGATE REBOUE + MODULO . ESTRIBO LATERAIS . PARACHOQUE IMP.(QUEBRAMATO) COM BASE . GUINCHO ELETRICO 12K . REVESTIMENTO CAÇAMBA EM CHAPA ALUMINIO LAVRADO 3MM . CAPOTA DE FIBRA COM ABERTURA LATERAL . PLATAFORMA RETRÁTIL DA CAÇAMBA . SINALIZAÇÃO VISUAL E ACUSTICA . SINALIZAÇÃO AUXILIAR ESTROBOSCÓPICA . GRAFISMO - CBMMG . CAPAS DOS BANCOS EM COURO SINTÉTICO . REVESTIMENTO ASSOALHO EM VINIL . SNORKEL . EXTINTOR + SUPORTE . SENSOR DE ESTACIONAENTO . PELÍCULA DE SEGURANÇA E CONTROLE SOLAR . PROTETOR DE CARTER REFORÇADO . SUPORTE DE ESCADAS COM BAGAGEIRO TETO . RADIO COMUNICADOR MOTOROLA DGM8500 . PREPARAÇÃO PARA RÁDIO COMUNICADOR C/ CHICOTE . ESTRUTURA ELEVADA DA CAÇAMBA PARA SUPORTE BAGAGEIRO OPERACIONAL . KIT COMBATE INCENDIO 400L . SIRENE FÁ-DÓ .FRETE (DA CONCESSIONÁRIA PARA A EMPRESA IMPLEMENTADORA);25,0;Não se aplica;1400.01.0032568/2024-44;Sim
Termo de Doação;2025,0;5;Entre 100K e 500K;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Público;Prefeitura de Passos;01 - Marca: MITSUBISHI MMC/L200 TRITON SPO GLS. Motorizacao: 2.4 D 4X4 AT - Portas: 4 Passageiros: 5 - Cambio: AUTOMÁTICO - Injenção: MULTIPONTO - Potencia: 190CV - Cilindradas: 2442 - Versão : Aberta/cabine Dupla;1,0;Não se aplica;1400.01.0076426/2023-57;Não
Termo de doação - CBMMG/6BBM ;2025,0;5;Abaixo de 100 K;Corpo de Bombeiros Militar de Minas Gerais - CBMMG;1400,0;Privado;Conselho Comunitário de Segurança Pública de Araçuaí/MG;Kit Compressor de ar Portátil Coltri MCH13-1 / Número de série: 2206541/ano 2022;1,0;Não se aplica;1400.01.0060009/2024-23;Não
Termo de Doação;2025,0;5;Abaixo de 100 K;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública de Poços de Caldas - CONSEP;06 - Teclado USB Preto KB-3728 - KMEX 06 - WebCam Raza FHD PCYES 06  - Memoria DDR4 Rage 8GB 3200MHZ - Redragon 06  - Processador Intel® Core? i3-10100T 06 - Licença Windows 10 Pro 06 - SSD ALLTEK 256GB SATA - HD 06 - Monitor Hayom 23,6 - MO6005 06 - Gabinete Slim GM02CK c/fonte - Kmex 03 - Suporte p/ Televisao de teto - Preto 06 - Placa mae H510M-VH4 LGA 1200 HUANANZHI 02 - Roteador Dual Band Wi-Fi W5-1200 06 - Adaptador USB Wireless 150Mbps TP-LINK 03 - Telefone Com Fio TC 60 ID Intelbras Preto 03 - Smart TV Philips 65 DLED 4K UHD 65PUG7408, Google TV, Wi-Fi Integrado, Bluetooth, Bivolt Preto 01 - Impressora HP Laser MFP 135a 127V 06 - Mouse Office MO-M833 Kmex 06 - Headset AR59 Preto Kmex;17,0;Não se aplica;1450.01.0043218/2025-77;Não
Contrato de Doação;2025,0;5;Abaixo de 100 K;Secretaria de Estado de Justiça e Segurança Pública - SEJUSP;1451,0;Privado;Conselho Comunitário de Segurança Pública de Unaí/MG - CONSEP;06 Estabilizador;1,0;Não se aplica;1450.01.0096508/2025-48;Não
Termo de doação;2025,0;5;Abaixo de 100 K;Policia Civil de Minas Gerais - PCMG;1511,0;Público;Exército Brasileiro - EB;Arma de fogo: Espécie Pistola, Marca Glock, Modelo G17 - Gen 4, Calibre 9mm, Carregador Bifilar para 17 (dezessete) Unidades de Carga, Semi-Automático (Ação Simples);1,0;Não se aplica;1510.01.0119314/2024-61;Sim
Termo de Doação;2025,0;6;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado;MINERITA – Minérios Itaúna Ltda.;1 Veículo I/FORD RANGER LTDCD4A32C, ano de fabricação/modelo: 2018/2019, espécie/tipo: especial/caminhonete, placa: QOP-9854, chassi: 8AFAR23L7KJ091155, KM 86143, combustível: diesel 01 Veículo I/FORD RANGER LTDCD4A32C, ano de fabricação/modelo: 2018/2018, espécie/tipo: especial/caminhonete, placa: QOP-9856, chassi: 8AFAR23L1JJ080036, KM 89044, combustível: diesel;2,0;Não se aplica;1250.01.0004910/2025-61;Não
Termo de Comodato;2025,0;6;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado; Conselho Comunitário de Segurança Pública da Comarca de Nova Serrana;"01 veículo Marca/modelo: Reanault Duster, ano de fabricação/modelo: 2025/2026; espécie/tipo: passageiro, prefixo: não há; placas TEH9110; chassi: 93YHJD205TJ209639; 0 KM, combustível: alcool/gasolina; 01 equipamentos necessários para adaptar veículo para viatura policial.";1,0;60 meses;1250.01.0010467/2025-81;Não
Termo de Doação;2025,0;6;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Público;Prefeitura de Araguari;Veículo marca/modelo Renault/Duster Intense Plus, com lotação para 5 (cinco) ocupantes, tipo camioneta, espécie misto, RENAVAM nº 01408264827, potência de 120 cv, cilindrada de 1.598 cm³, combustível flex, cor interna preto/cinza, cor externa branca, ano de fabricação/modelo 2024/2025, quilometragem de 700 km, número do motor H4MK743Q083881, placa TDC-4C37;1,0;Não se aplica;1250.01.0010527/2025-13;Não
Termo de Doação FHEMIG/DPGF/GELCC/COCC-CONV Nº 105827309/2025;2025,0;6;Abaixo de 100K;Fundação Hospitalar do Estado de Minas Gerais – FHEMIG;2271,0;Privado ;Roberta Padrão Castelo Branco Avelar;03 VENTILADOR VENTISOL OSC PD 60 CM GR PR CH HH PREMIUM 543;3,0;Não se aplica;2270.01.0061632/2023-87;Não
Contrato de Doação;2025,0;6;Abaixo de 100K;Secretaria de Estado de Justiça e Segurança Pública​ - SEJUSP;1451,0;Privado ;Associação Amor e Compaixão – AAC;01 NOBREAK 01 HACK 02 DVR 30 CAMERA DE MONITORAMENTO;4,0;Não se aplica;1450.01.0084006/2025-42;Não
Contrato de Doação;2025,0;6;Entre 100K e 500K;Polícia Militar de Minas Gerais - PMMG;1251,0;Privado ;Supermercados BH Comércio de Alimentos S/A;01 veículo Mitsubishi L200 Triton Spo GLSA, cabine dupla, diesel, ano de fabricação/modelo 2024/2025, placa TDV6G55, chassi 93XSYKL1TSCR91087, motor 4N15BAM1509, zero quilômetro;1,0;Não se aplica;1250.01.001053/2025-07;Não
